"행정구역","2022년_계_총인구수","2022년_계_연령구간인구수","2022년_계_0~9세","2022년_계_10~19세","2022년_계_20~29세","2022년_계_30~39세","2022년_계_40~49세","2022년_계_50~59세","2022년_계_60~69세","2022년_계_70~79세","2022년_계_80~89세","2022년_계_90~99세","2022년_계_100세 이상"
"전국  (0000000000)","51,439,038","51,439,038","3,532,642","4,703,196","6,417,181","6,615,511","8,073,117","8,612,064","7,403,539","3,825,717","1,970,593","277,745","7,733"
"서울특별시  (1100000000)","9,428,372","9,428,372","545,317","749,118","1,389,483","1,425,808","1,449,706","1,492,802","1,297,787","713,496","321,209","42,354","1,292"
"부산광역시  (2600000000)","3,317,812","3,317,812","206,377","265,934","395,398","396,427","494,742","543,722","555,859","308,718","134,148","16,081","406"
"대구광역시  (2700000000)","2,363,691","2,363,691","157,730","217,532","294,363","279,457","363,802","415,142","351,340","184,159","89,098","10,830","238"
"인천광역시  (2800000000)","2,967,314","2,967,314","208,942","272,740","376,526","405,262","481,848","509,651","420,463","188,099","89,656","13,704","423"
"광주광역시  (2900000000)","1,431,050","1,431,050","106,977","150,857","198,619","177,417","232,740","237,879","177,332","96,069","46,682","6,305","173"
"대전광역시  (3000000000)","1,446,072","1,446,072","102,233","140,288","203,887","187,991","226,654","239,260","197,255","95,129","46,641","6,553","181"
"울산광역시  (3100000000)","1,110,663","1,110,663","85,061","110,202","129,209","139,635","181,630","204,688","163,353","66,916","26,466","3,442","61"
"세종특별자치시  (3600000000)","383,591","383,591","45,951","49,002","38,379","61,083","76,504","51,667","35,788","15,705","8,079","1,398","35"
"경기도  (4100000000)","13,589,432","13,589,432","1,040,954","1,327,726","1,737,291","1,882,300","2,284,603","2,293,422","1,750,962","808,663","403,721","58,065","1,725"
"강원도  (4200000000)","1,536,498","1,536,498","96,036","132,133","170,194","160,365","215,872","262,025","267,950","138,112","81,500","11,974","337"
"충청북도  (4300000000)","1,595,058","1,595,058","109,410","145,882","188,310","187,432","236,190","268,313","251,466","123,834","73,755","10,187","279"
"충청남도  (4400000000)","2,123,037","2,123,037","152,498","202,299","231,139","253,435","327,001","341,662","313,734","173,947","109,748","17,137","437"
"전라북도  (4500000000)","1,769,607","1,769,607","110,400","167,541","198,284","176,505","253,575","297,923","277,139","168,628","103,594","15,556","462"
"전라남도  (4600000000)","1,817,697","1,817,697","114,889","161,566","185,970","172,262","247,532","311,348","293,838","188,760","122,806","18,184","542"
"경상북도  (4700000000)","2,600,492","2,600,492","165,119","220,579","261,320","268,368","369,977","449,269","446,069","248,866","148,945","21,453","527"
"경상남도  (4800000000)","3,280,493","3,280,493","229,942","318,924","341,089","362,225","519,743","576,029","514,199","259,695","138,257","20,006","384"
"제주특별자치도  (5000000000)","678,159","678,159","54,806","70,873","77,720","79,539","110,998","117,262","89,005","46,921","26,288","4,516","231"
