MembersNo,Day,TimeSlot,PlayTime,PreferedGame,Gender,Age,UserType
1,2,2,5,1,1,26,1
2,1,3,4,4,2,22,3
3,3,4,5,2,1,25,1
4,1,3,2,4,2,33,3
5,1,1,3,3,1,31,1
6,2,2,4,1,1,17,1
7,2,1,2,1,2,16,2
8,1,4,5,4,1,38,3
9,1,3,2,3,1,21,1
10,1,3,4,2,2,27,1
11,2,3,6,4,2,32,3
12,1,3,6,3,1,24,1
13,3,4,4,4,1,43,1
14,2,3,2,1,2,23,3
15,2,3,2,1,1,17,2
16,3,4,4,1,1,22,1
17,3,3,3,3,1,13,1
18,2,3,2,2,2,27,3
19,1,3,1,1,1,35,3
20,2,4,3,1,2,26,1
21,1,4,3,4,1,39,3
22,1,2,6,2,1,42,1
23,1,3,2,4,1,51,3
24,2,1,5,3,2,33,3
25,2,2,1,1,1,28,3
26,1,3,3,1,2,24,1
27,2,3,4,4,1,19,1
28,3,4,4,3,1,16,1
29,1,3,2,2,1,28,3
30,3,4,1,4,1,30,3
31,3,3,3,3,2,28,2
32,2,4,5,4,2,21,1
33,2,2,6,1,1,17,1
34,2,4,4,1,2,16,1
35,3,3,3,4,1,33,3
36,3,3,2,1,1,42,3
37,2,1,2,2,2,21,2
38,2,2,3,3,1,29,3
39,3,4,4,1,1,18,1
40,2,3,4,2,1,15,1
41,1,2,3,4,1,36,3
42,3,4,2,4,2,21,1
43,2,3,5,2,1,19,1
44,2,1,2,4,1,22,2
45,1,2,5,3,1,30,3
46,3,3,3,2,1,31,3
47,1,2,3,1,1,32,3
48,2,2,1,4,1,28,3
49,1,3,3,3,2,24,1
50,2,3,4,1,1,19,1
51,3,4,4,2,1,16,1
52,1,3,2,3,1,28,3
53,3,4,1,4,1,30,3
54,3,3,3,2,2,28,2
55,2,4,5,1,2,21,1
56,2,2,6,3,1,17,1
57,2,4,4,3,2,16,1
58,3,3,3,4,1,33,3
59,3,3,2,1,1,42,3
60,2,1,2,2,2,21,2
61,2,2,3,3,1,29,3
62,3,4,4,1,1,18,1
63,2,3,4,2,1,15,1
64,1,2,3,4,1,36,3
65,3,4,2,4,2,21,1
66,2,3,5,2,1,19,1
67,2,1,2,4,1,22,2
68,1,2,5,3,1,30,3
69,3,3,3,2,1,31,3
70,1,2,3,1,1,32,3
71,1,1,5,1,1,22,1
72,2,2,4,4,2,13,3
73,3,3,5,2,1,27,1
74,1,4,2,4,2,35,3
75,2,4,3,3,1,26,1
76,3,3,4,1,1,39,1
77,1,3,2,1,2,42,2
78,2,2,5,4,1,51,3
79,3,3,2,3,1,33,1
80,1,2,4,2,2,28,1
81,2,3,6,4,2,24,3
82,3,2,6,3,1,19,1
83,3,2,4,4,1,18,1
84,2,2,2,1,2,15,3
85,1,3,2,1,1,36,2
86,2,3,4,1,1,21,1
87,3,3,3,3,1,19,1
88,2,2,5,1,1,26,1
89,1,3,4,4,2,22,3
90,3,4,5,2,1,25,1
91,1,3,2,4,2,33,3
92,1,1,3,3,1,31,1
93,2,2,4,1,1,17,1
94,2,1,2,1,2,16,2
95,1,4,5,4,1,38,3
96,1,3,2,3,1,21,1
97,1,3,4,2,2,27,1
98,1,2,4,2,1,15,1
99,1,2,2,3,1,36,3
100,2,3,1,4,1,21,3
101,1,2,3,2,2,19,2
102,1,3,5,1,2,22,1
103,2,3,6,3,1,26,1
104,2,3,4,3,2,39,1
105,3,1,3,4,1,42,3
106,3,3,2,1,1,51,3
107,3,4,2,2,2,22,2
108,2,2,3,3,1,30,3
109,1,1,4,1,1,31,1
110,2,3,4,2,1,32,1
111,2,3,3,4,1,28,3
112,2,2,2,4,2,24,1
113,3,3,5,2,1,19,1
114,1,2,2,4,1,16,2
115,1,2,5,3,1,28,3
116,3,1,3,2,1,30,3
117,2,2,3,1,1,28,3
118,1,3,1,4,1,21,3
119,2,2,3,3,2,19,1
120,3,4,1,4,1,30,3
121,3,3,3,3,2,28,2
122,2,4,5,4,2,21,1
123,2,2,6,1,1,17,1
124,2,4,4,1,2,16,1
125,3,3,3,4,1,33,3
126,3,3,2,1,1,42,3
127,2,1,2,2,2,21,2
128,2,2,3,3,1,29,3
129,3,4,4,1,1,18,1
130,2,3,4,2,1,15,1
131,2,2,3,3,2,28,3
132,3,3,4,1,1,21,1
133,3,2,4,2,1,19,1
134,2,1,3,4,1,22,3
135,2,3,2,4,2,30,1
136,1,3,5,2,1,31,1
137,3,2,2,4,1,32,2
138,2,1,5,3,1,31,3
139,2,1,3,2,1,32,3
140,2,2,3,1,1,22,3
141,3,1,5,2,1,13,1
142,2,2,4,3,2,27,3
143,1,4,5,1,1,19,1
144,2,3,2,2,2,16,3
145,3,1,3,4,1,28,1
146,2,2,4,4,1,30,1
147,2,1,2,2,2,17,2
148,3,1,5,4,1,16,3
149,3,2,2,3,1,33,1
150,2,2,4,2,2,42,1
151,1,3,6,1,2,21,3
152,1,4,6,4,1,29,1
153,2,4,4,3,1,18,1
154,3,3,2,1,2,15,3
155,2,1,2,2,1,36,2
156,1,4,4,3,1,21,1
157,1,3,3,4,1,19,1
158,2,3,2,2,2,22,3
159,2,2,1,1,1,30,3
160,2,3,3,3,2,21,1
161,1,4,3,3,1,17,3
162,1,4,6,4,1,16,1
163,2,3,2,1,1,33,3
164,3,1,5,2,2,42,3
165,1,3,1,3,1,21,3
166,3,4,3,1,2,29,1
167,3,3,4,2,1,18,1
168,1,3,4,4,1,15,1
169,3,2,2,4,1,36,3
170,2,4,1,2,1,21,3
171,3,3,3,1,2,25,2
172,2,3,5,3,2,33,1
173,3,2,6,3,1,31,1
174,2,3,4,4,2,22,1
175,2,4,3,1,1,15,3
176,1,3,2,2,1,16,3
177,1,2,5,3,1,30,3
178,3,3,3,2,1,31,3
179,1,2,3,1,1,32,3
180,2,2,1,4,1,28,3
181,1,3,3,3,2,24,1
182,2,3,4,1,1,19,1
183,3,4,4,2,1,16,1
184,1,3,2,3,1,28,3
185,3,4,1,4,1,30,3
186,3,3,3,1,1,34,3
187,2,4,3,2,1,18,3
188,2,3,1,4,1,41,3
189,3,1,3,4,2,34,1
190,2,2,4,2,1,32,1
191,1,1,4,4,1,23,1
192,1,3,6,3,1,24,1
193,3,4,4,4,1,43,1
194,2,3,2,1,2,23,3
195,2,3,2,1,1,17,2
196,3,4,4,1,1,22,1
197,3,3,3,3,1,13,1
198,2,3,2,2,2,27,3
199,1,3,1,1,1,35,3
200,2,4,2,1,1,26,2
201,2,2,3,3,1,29,3
202,3,4,4,1,1,18,1
203,2,3,4,2,1,15,1
